order_id,order_date,order_month,customer_id,customer_name,customer_dob,customer_age,customer_segment,region,sales_channel,product,quantity,unit_price,discount_rate,gross_revenue,net_revenue,payment_mode,order_status
ORD-1058,2025-01-01,2025-01,CUST-007,Priya Nair,1996-09-15,29.0,Enterprise,West,Online,Headphones,1,4874.78,0.1,4874.78,4387.3,Credit Card,Returned
ORD-1028,2025-01-03,2025-01,CUST-006,Neha Gupta,1987-07-10,38.0,Student,Central,Partner,Headphones,2,2117.44,0.15,4234.88,3599.65,Credit Card,Cancelled
ORD-1196,2025-01-05,2025-01,CUST-055,Neha Gupta,1975-12-11,50.0,Enterprise,North,Online,Keyboard,1,2362.3,0.15,2362.3,2007.96,Cash,Completed
ORD-1249,2025-01-06,2025-01,CUST-005,Vikram Singh,1983-07-13,42.0,Small Business,South,Partner,Mouse,1,693.85,0.0,693.85,693.85,Net Banking,Completed
ORD-1171,2025-01-07,2025-01,CUST-072,Priya Nair,1984-07-13,41.0,Enterprise,South,Online,Monitor,1,17166.74,0.05,17166.74,16308.4,Debit Card,Returned
ORD-1157,2025-01-08,2025-01,CUST-062,Priya Nair,1981-04-24,45.0,Enterprise,South,Partner,Smartphone,1,40692.64,0.05,40692.64,38658.01,Debit Card,Completed
ORD-1032,2025-01-09,2025-01,CUST-081,Vikram Singh,1994-02-15,32.0,Enterprise,West,Retail,Smartphone,3,16862.68,0.0,50588.04,50588.04,Credit Card,Completed
ORD-1108,2025-01-09,2025-01,CUST-019,Rohan Mehta,1995-09-19,30.0,Student,Central,Retail,Keyboard,1,3042.73,0.1,3042.73,2738.46,Credit Card,Completed
ORD-1019,2025-01-11,2025-01,CUST-085,Vikram Singh,1976-03-10,50.0,Small Business,South,Partner,Mouse,3,1247.93,0.15,3743.79,3182.22,Debit Card,Completed
ORD-1175,2025-01-14,2025-01,CUST-027,Sneha Rao,2005-12-15,20.0,Student,West,Partner,Smartphone,2,30005.76,0.2,60011.52,48009.22,Cash,Completed
ORD-1045,2025-01-15,2025-01,CUST-028,Rohan Mehta,1990-06-06,36.0,Small Business,East,Partner,Smartphone,3,30805.04,0.2,92415.12,73932.1,Debit Card,Completed
ORD-1124,2025-01-16,2025-01,CUST-083,Rohan Mehta,1990-11-18,35.0,Professional,West,Retail,Headphones,2,2335.55,0.1,4671.1,4203.99,Cash,Completed
ORD-1151,2025-01-17,2025-01,CUST-003,Priya Nair,2000-11-14,25.0,Student,North,Partner,Headphones,1,1591.62,0.2,1591.62,1273.3,Upi,Completed
ORD-1219,2025-01-18,2025-01,CUST-083,Rohan Mehta,1994-10-20,31.0,Enterprise,Central,Retail,Smartphone,4,21074.4,0.1,84297.6,75867.84,Upi,Returned
ORD-1230,2025-01-18,2025-01,CUST-014,Aarav Sharma,1984-11-01,41.0,Professional,West,Online,Mouse,3,873.72,0.1,2621.16,2359.04,Upi,Completed
ORD-1112,2025-01-19,2025-01,CUST-046,Aarav Sharma,1999-07-11,26.0,Small Business,North,Retail,Headphones,2,4954.32,0.15,9908.64,8422.34,Cash,Completed
ORD-1096,2025-01-22,2025-01,CUST-042,Vikram Singh,1989-10-21,36.0,Professional,North,Retail,Monitor,2,13536.2,0.15,27072.4,23011.54,Upi,Completed
ORD-1152,2025-01-23,2025-01,CUST-028,Aarav Sharma,1987-08-08,38.0,Small Business,South,Partner,Keyboard,2,2669.2,0.0,5338.4,5338.4,Net Banking,Completed
ORD-1207,2025-01-23,2025-01,CUST-061,Rohan Mehta,2002-08-01,23.0,Professional,South,Online,Monitor,2,8960.67,0.2,17921.34,14337.07,Net Banking,Completed
ORD-1049,2025-01-24,2025-01,CUST-017,Neha Gupta,1976-10-09,49.0,Student,North,Partner,Headphones,1,859.42,0.15,859.42,730.51,Debit Card,Completed
ORD-1018,2025-01-26,2025-01,CUST-021,Aarav Sharma,1993-08-17,32.0,Professional,North,Partner,Laptop,2,73976.83,0.2,147953.66,118362.93,Upi,Completed
ORD-1088,2025-01-27,2025-01,CUST-007,Neha Gupta,1979-03-25,47.0,Small Business,West,Partner,Smartphone,1,35812.67,0.0,35812.67,35812.67,Cash,Completed
ORD-1156,2025-01-27,2025-01,CUST-078,Aarav Sharma,1983-07-22,42.0,Professional,Central,Partner,Keyboard,3,958.9,0.2,2876.7,2301.36,Net Banking,Completed
ORD-1017,2025-02-01,2025-02,CUST-037,Sneha Rao,1987-05-26,39.0,Professional,South,Retail,Keyboard,1,3121.02,0.0,3121.02,3121.02,Credit Card,Completed
ORD-1134,2025-02-01,2025-02,CUST-072,Rohan Mehta,1997-03-17,29.0,Enterprise,East,Online,Keyboard,2,1849.06,0.15,3698.12,3143.4,Cash,Returned
